Sampling_Code;Lake_Code;Date;Depth;Zone;EUNIS_Habitat;Method;Taxa_Group;Notes
LPI_Lit_33407;LPI;18/06/1991;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPI_Lit_33435;LPI;16/07/1991;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPI_Out_33435;LPI;16/07/1991;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;
LPI_Lit_33470;LPI;20/08/1991;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPI_Out_33470;LPI;20/08/1991;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;
LPI_Lit_33498;LPI;17/09/1991;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPI_Out_33498;LPI;17/09/1991;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;
LPI_Lit_33742;LPI;18/05/1992;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPI_Out_33742;LPI;18/05/1992;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;
LPI_Lit_33771;LPI;16/06/1992;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPI_Out_33771;LPI;16/06/1992;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;
LPI_Lit_34233;LPI;21/09/1993;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPI_Inl_34233;LPI;21/09/1993;0.5;Inlet;C1.1;Handle net;Macroinvertebrates;
LPI_Out_34233;LPI;21/09/1993;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;
LPI_Lit_34508;LPI;23/06/1994;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPI_Out_34508;LPI;23/06/1994;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;
LPI_Lit_34590;LPI;13/09/1994;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPI_Out_34590;LPI;13/09/1994;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;
LPI_Out_34590_100;LPI;13/09/1994;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;100 meter
LPI_Out_34590_200;LPI;13/09/1994;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;200 meter
LPI_Lit_36782;LPI;13/09/2000;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPI_Out_36782;LPI;13/09/2000;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;
LPI_Out_36782_100;LPI;13/09/2000;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;100 meter
LPI_Lit_41175;LPI;23/09/2012;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPI_Out_41175;LPI;23/09/2012;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;
LPM_Lit_32798;LPM;17/10/1989;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPM_Lit_33525;LPM;14/10/1991;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPM_Lit_33792;LPM;07/07/1992;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPM_Lit_34233;LPM;21/09/1993;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPM_Lit_36781;LPM;12/09/2000;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPS_Lit_33435;LPS;16/07/1991;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPS_Lit_33470;LPS;20/08/1991;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPS_Lit_33498;LPS;17/09/1991;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPS_Lit_33771;LPS;16/06/1992;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPS_Lit_33792;LPS;07/07/1992;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPS_Lit_33813;LPS;28/07/1992;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPS_Lit_33861;LPS;14/09/1992;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPS_Lit_34177;LPS;27/07/1993;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPS_Lit_34233;LPS;21/09/1993;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPS_Lit_34541;LPS;26/07/1994;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPS_Out_34541;LPS;26/07/1994;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;
LPS_Lit_34590;LPS;13/09/1994;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPS_Out_34590;LPS;13/09/1994;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;
LPS_Lit_34898;LPS;18/07/1995;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPS_Out_34898;LPS;18/07/1995;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;
LPS_Inl_34898_1;LPS;18/07/1995;0.5;Inlet;C1.1;Handle net;Macroinvertebrates;
LPS_Inl_34898_2;LPS;18/07/1995;0.5;Inlet;C1.1;Handle net;Macroinvertebrates;
LPS_Lit_34975;LPS;03/10/1995;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPS_Out_34975;LPS;03/10/1995;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;
LPS_Inl_34975_1;LPS;03/10/1995;0.5;Inlet;C1.1;Handle net;Macroinvertebrates;
LPS_Inl_34975_2;LPS;03/10/1995;0.5;Inlet;C1.1;Handle net;Macroinvertebrates;
LPS_Lit_35262;LPS;16/07/1996;0.5;Littoral;C1.1;Handle net;Macroinvertebrates;
LPS_Out_35262;LPS;16/07/1996;0.5;Outlet;C1.1;Handle net;Macroinvertebrates;
LPS_Inl_35262_1;LPS;16/07/1996;0.5;Inlet;C1.1;Handle net;Macroinvertebrates;
