"Sampling_Code";"GBIF";"Substrate";"Occurrence";"N_individuals"
"LPS_Lit_36782";"1441789";"Gravel";1;3
"LPM_Lit_36781";"1441789";"Gravel near inlet";1;1
"LPS_Lit_36782";"1441778";"Gravel";1;2
"LPS_Lit_36782";"1441778";"Rock face";1;1
"GRA_Lit_43725";"4469860";"Left";1;1
"LPS_Lit_41520";"4469860";"Rock face";1;1
"GRA_Lit_44089";"4469860";"Left";1;1
"LPS_Inl_35647";"4469860";"";1;6
"LVM_Inl_44091";"4469860";"";1;1
"GEL_Lit_43727";"4469860";"Gravel";1;2
"LVM_Lit_43733";"4469860";"Left";1;3
"LPS_Lit_35689";"4469860";"Gravel";1;5
"LPS_Lit_36412";"4469860";"Rock face";1;3
"GEL_Lit_43727";"4469860";"Gravel-Sand";1;6
"GRA_Out_44089";"4469860";"";1;1
"GEL_Lit_44103";"4469860";"Gravel";1;2
"CAP_Out_43726";"4469860";"";1;2
"LVM_Out_44091";"4469860";"";1;3
"LMS_Lit_43732";"4469860";"Right";1;5
"MAT_Lit_44103";"4469860";"Left";1;1
"GRA_Lit_44089";"4469860";"Right";1;2
"LPS_Lit_36412";"4469860";"Gravel";1;2
"LPS_Inl_34898_2";"4469860";"";1;1
"LPS_Lit_41520";"4469860";"Landslide";1;2
"GEL_Lit_44103";"2049905";"Gravel-Sand";1;2
"LPI_Lit_36782";"4542006";"Landslide";1;1
"LPS_Lit_36782";"4542006";"Rock face";1;1
"LPM_Lit_36781";"4542006";"Gravel";1;37
"LPM_Lit_36781";"4542006";"Boulders";1;17
"LPI_Lit_36782";"4542006";"Gravel";1;1
"LPS_Lit_36782";"4542006";"Landslide";1;8
"LPM_Lit_36781";"4542006";"Gravel near inlet";1;3
"LVM_Lit_43733";"9453665";"Left";1;3
"MAT_Lit_43727";"9453665";"Left";1;1
"LMI_Lit_43732";"9453665";"Left";1;13
"LMS_Lit_43732";"9453665";"Right";1;24
"LMS_Lit_43732";"9453665";"Left";1;2
"LVM_Inl_44091";"9453665";"";1;1
"LMI_Lit_44084";"9453665";"Right";1;3
"LMI_Out_43732";"9453665";"";1;1
"LMI_Lit_43732";"9453665";"Right";1;7
"LVM_Out_44091";"9453665";"";1;1
"LVS_Out_44091";"9453665";"";1;1
"LPI_Out_36782_100";"4541504";"";1;3
"LPI_Out_36782_100";"4541553";"";1;2
"LPI_Out_36782_100";"1501514";"";1;1
"LPM_Lit_34233";"4542000";"Gravel";1;6
"LPS_Lit_33813";"4542000";"Gravel";1;1
"LPS_Lit_34898";"4542000";"Rock face";1;1
"LPS_Lit_35997";"4542000";"Landslide";1;1
"LPM_Lit_33792";"4542000";"Gravel";1;5
"LPI_Lit_33742";"4542000";"Gravel";1;2
"LPI_Lit_33771";"4542000";"Landslide";1;1
"LPS_Lit_34541";"4542000";"Rock face";1;16
"LPI_Lit_33435";"4542000";"Gravel";1;1
"LPS_Lit_33813";"4542000";"Rock face";1;1
"LPI_Lit_33407";"4542000";"Gravel";1;1
"LPS_Lit_35262";"4542000";"Rock face";1;6
"LPI_Lit_33435";"4542000";"Landslide";1;7
"LPI_Lit_33498";"4542000";"Gravel";1;3
"LPI_Inl_34233";"4542000";"";1;1
"LPI_Lit_33498";"4542000";"Landslide";1;14
"LPS_Lit_33470";"4542000";"Rock face";1;6
"LPS_Lit_34541";"4542000";"Gravel";1;3
"LPI_Lit_33470";"4542000";"Gravel";1;3
"LPI_Lit_34508";"4542000";"Gravel";1;1
"LPS_Lit_34975";"4542000";"Rock face";1;1
"LPS_Lit_35262";"4542000";"Landslide";1;4
"LPS_Lit_35997";"4542000";"Rock face";1;16
