GBIF;Kingdom;Phylum;Subphylum;Class;Subclass;Order;Family;Subfamily;Tribe;Genus;Subgenus;Specie;CompleteName;Author;Name;Taxon_rank;Raddum_1988;Raddum_1990;NIVA;AWICfam_taxa;AWICfam;AWICsp_taxa;AWICsp;TL;Braukmann;LAMM_Sk;LAMM_Wk
2308833;Animalia;Annelida;NA;Clitellata;Hirudinea;Arhynchobdellida;Erpobdellidae;NA;NA;Dina;NA;NA;Dina;NA;Dina;genus;NA;NA;NA;Erpobdellidae;6;NA;NA;NA;NA;NA;NA
10869541;Animalia;Annelida;NA;Clitellata;Hirudinea;Arhynchobdellida;Erpobdellidae;NA;NA;Erpobdella;NA;NA;Erpobdella;NA;Erpobdella;genus;NA;NA;NA;Erpobdellidae;6;NA;NA;NA;NA;NA;NA
2308846;Animalia;Annelida;NA;Clitellata;Hirudinea;Arhynchobdellida;Erpobdellidae;NA;NA;Erpobdella;NA;octoculata;Erpobdella octoculata;Linnaeus, 1758;E_octoculata;specie;NA;NA;3;Erpobdellidae;6;E_octoculata;7;5;NA;6;0.31
4411080;Animalia;Annelida;NA;Clitellata;Hirudinea;Arhynchobdellida;Erpobdellidae;NA;NA;Erpobdella;NA;testacea;Erpobdella testacea;Savigny, 1822;E_testacea;specie;NA;NA;2;Erpobdellidae;6;NA;NA;NA;NA;6;0.365
6945;Animalia;Annelida;NA;Clitellata;Hirudinea;Arhynchobdellida;Erpobdellidae;NA;NA;NA;NA;NA;Erpobdellidae;NA;Erpobdellidae;family;NA;NA;NA;Erpobdellidae;6;NA;NA;NA;NA;NA;NA
2308810;Animalia;Annelida;NA;Clitellata;Hirudinea;Arhynchobdellida;Haemopidae;NA;NA;Haemopis;NA;NA;Haemopis;NA;Haemopis;genus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4411067;Animalia;Annelida;NA;Clitellata;Hirudinea;Arhynchobdellida;Haemopidae;NA;NA;Haemopis;NA;sanguisuga;Haemopis sanguisuga;Linnaeus, 1758;H_sanguisuga;specie;NA;1;3;NA;NA;NA;NA;NA;NA;NA;NA
3559;Animalia;Annelida;NA;Clitellata;Hirudinea;Arhynchobdellida;Haemopidae;NA;NA;NA;NA;NA;Haemopidae;NA;Haemopidae;family;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9517429;Animalia;Annelida;NA;Clitellata;Hirudinea;Arhynchobdellida;Praobdellidae;NA;NA;Limnatis;NA;NA;Limnatis;NA;Limnatis;genus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9537848;Animalia;Annelida;NA;Clitellata;Hirudinea;Arhynchobdellida;Praobdellidae;NA;NA;NA;NA;NA;Praobdellidae;NA;Praobdellidae;family;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
