GBIF;faunaeur;Catalogue;AlgaeBase;Limnological_Rank;Kingdom;Phylum;Subphylum;Class;Order;Family;Subfamily;Tribe;Genus;Subgenus;Specie;CompleteName;Author;Feeding;Name;Taxon_rank;Raddum_1988;Raddum_1990;NIVA;AWICfam_taxa;AWICfam;AWICsp_taxa;AWICsp;TL;Braukmann;LAMM_Sk;LAMM_Wk
2217982;NA;NA;NA;Macroinvertebrate;Animalia;Arthropoda;Crustacea;Malacostraca;Amphipoda;Crangonyctidae;NA;NA;Crangonyx;NA;pseudogracilis;Crangonyx pseudogracilis;Bousfield 1958;;C_pseudogracilis;specie;NA;NA;NA;Gammaridae;6;C_pseudogracilis;6;NA;NA;6;0.585
4424;NA;NA;NA;Macroinvertebrate;Animalia;Arthropoda;Crustacea;Malacostraca;Amphipoda;Crangonyctidae;NA;NA;NA;NA;NA;Crangonyctidae;NA;NA;Crangonyctidae;family;NA;NA;NA;Gammaridae;6;NA;NA;NA;NA;NA;NA
4416980;NA;NA;NA;Macroinvertebrate;Animalia;Arthropoda;Crustacea;Malacostraca;Amphipoda;Gammaridae;NA;NA;Gammarus;NA;fossarum;Gammarus fossarum;Koch 1836;;G_fossarum;specie;NA;NA;NA;Gammaridae;6;NA;NA;NA;2;NA;NA
2219867;NA;NA;NA;Macroinvertebrate;Animalia;Arthropoda;Crustacea;Malacostraca;Amphipoda;Gammaridae;NA;NA;Gammarus;NA;lacustris;Gammarus lacustris;G.O.Sars 1863;NA;G_lacustris;specie;1;1;1;Gammaridae;6;NA;NA;NA;NA;7.33;0.517
2219853;NA;NA;NA;Macroinvertebrate;Animalia;Arthropoda;Crustacea;Malacostraca;Amphipoda;Gammaridae;NA;NA;Gammarus;NA;pulex;Gammarus pulex;Linnaeus 1758;;G_pulex;specie;NA;NA;NA;Gammaridae;6;G_pulex;8;NA;2;7;0.464
4434;NA;NA;NA;Macroinvertebrate;Animalia;Arthropoda;Crustacea;Malacostraca;Amphipoda;Gammaridae;NA;NA;NA;NA;NA;Gammaridae;NA;NA;Gammaridae;family;NA;NA;NA;Gammaridae;6;NA;NA;NA;NA;NA;NA
3254505;NA;NA;NA;Macroinvertebrate;Animalia;Arthropoda;Crustacea;Malacostraca;Amphipoda;Niphargidae;NA;NA;NA;NA;NA;Niphargidae;NA;NA;Niphargidae;family;NA;NA;NA;Gammaridae;6;NA;NA;NA;NA;NA;NA
4405305;urn:lsid:faunaeur.org:taxname:267979;NA;NA;Macroinvertebrate;Animalia;Arthropoda;Crustacea;Malacostraca;Amphipoda;Niphargidae;NA;NA;Niphargus;NA;NA;Niphargus;NA;Detritivori;Niphargus;genus;NA;NA;NA;Gammaridae;6;NA;NA;NA;4;NA;NA
4469860;urn:lsid:faunaeur.org:taxname:119351;urn:lsid:catalogueoflife.org:taxon:58883972-e478-11e5-86e7-bc764e092680:col20150315;NA;Macroinvertebrate;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Dytiscidae;Agabinae;Agabini;Agabus;Gaurodytes;bipustulatus;Agabus (Gaurodytes) bipustulatus;Linnaeus 1767;Predatori;A_bipustulatus;specie;NA;NA;NA;Dytiscidae;6;Dytiscidae;6;4.3;5;NA;NA
4469878;NA;NA;NA;Macroinvertebrate;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Dytiscidae;Agabinae;Agabini;Agabus;NA;guttatus;Agabus guttatus;Paykull 1798;NA;A_guttatus;specie;NA;NA;NA;Dytiscidae;6;Dytiscidae;6;4.3;4;NA;NA
1037928;urn:lsid:faunaeur.org:taxname:119275;urn:lsid:catalogueoflife.org:taxon:48f3c1f3-e478-11e5-86e7-bc764e092680:col20150315;NA;Macroinvertebrate;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Dytiscidae;Agabinae;Agabini;Agabus;NA;NA;Agabus;NA;Predatori;Agabus;genus;NA;NA;NA;Dytiscidae;6;Dytiscidae;6;4.3;5;NA;NA
8402570;urn:lsid:faunaeur.org:taxname:119019;urn:lsid:catalogueoflife.org:taxon:724e9ab7-e478-11e5-86e7-bc764e092680:col20150315;NA;Macroinvertebrate;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Dytiscidae;Hydroporinae;Hydroporini;Hydroporus;NA;foveolatus;Hydroporus foveolatus;Heer 1839;Predatori;H_foveolatus;specie;NA;NA;NA;Dytiscidae;6;Dytiscidae;6;NA;NA;NA;NA
fe_118888;urn:lsid:faunaeur.org:taxname:118888;eol.org/pages/2649846;NA;Macroinvertebrate;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Dytiscidae;Hydroporinae;NA;NA;NA;NA;Hydroporinae;NA;Predatori;Hydroporinae;subfamily;NA;NA;NA;Dytiscidae;6;Dytiscidae;6;NA;NA;NA;NA
4470120;NA;NA;NA;Macroinvertebrate;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Dytiscidae;NA;NA;Deronectes;NA;platynotus;Deronectes platynotus;Germar 1834;NA;D_platynotus;specie;NA;NA;NA;Dytiscidae;6;Dytiscidae;6;NA;3;NA;NA
